Question,Answer
I know that  theyve  theyre   looking at F uh  F uh  D you know  F uh  D you know   better running automobiles ,Do you have brothers and sisters 
 C and  it ,D well    any  any  advantage that they can take 
C because  I think  they   thats an area that the other nations especially Europe look down on us like F oh  were just backward wayward children who still use this backward system who havent really attained it yet  , D yeah   with  the savings from  that  
 C But    it would be real difficult  to pick   you  D you know   to find  one and ,teachers  
C But  its  an  an  amount theyre designed to sting them a little  for their,Thats incredible 
E I mean   it was  it    ,D so   what was  what was   the other question  
thats true ,C but   F uh  
They were the same age  , that they had built  
 C and  its kind of nice  to  to   have that , F Oh  yeah  
Wow thats great ,Yeah 
F Oh  yeah  ,its very pretty country in there I think  
D well  I guess that means these credit cards are closed  , Right   
I think the last novel   I read   I read  I guess in conjunction with my wife over vacation last year  ,I have two boys who are twentyeight and twentyfour 
C But  F uh    I  I just   I  find it to be pretty offensive  that  that  its such  a  a  big deal  ,Yeah 
F um  we  ,Right 
 youre exactly right ,Im not alarmed 
you do get to stop once in a while when there  is a can to rest laughter ,Laughter
the pro , Do   do you  do you    blame  the  the  government in Washington for this 
Im sorry laughter ,C and  their moms are crack users  
I saw DANCES WITH WOLVES and F uh  HOME ALONE  ,C So   it was a  it was a   D you know   
 C and    F uh  C so   my dad loved fishing and camping  , I dont  
D Well  tell you the truth  Im  Im    not  F uh  not   picky  ,Yeah 
I dont ,C and  D you know  
I didnt  ,A little more take home here sniffing 
C but  its not ,they have two girls  
C So  he ended up killing the rabbit in the end laughter F uh   ,now  
Uhhuh  ,Yeah 
C And   F uh  he chose it  ,Right 
 come back  ,Uhhuh 
Okay ,D Well  you think that takes care of the time and 
I know laughter ,rock and roll kind of sound 
Im trying to think ,C Because   I often  I often  sort of wonder how having never been to the Soviet Union F um  how different the people there really are D you know   
Uhhuh , C and    D you know 
I couldnt hear you , problem D you  know   
 to go  an watch  the  the   F uh  ladies sounds like some loss of words here,Yeah 
Laughter,D well   shes  shes  just been doing all kinds of stuff   where   shes D you know        
Yeah  , N  no   
C and   F uh  it had a whole  lot of miles on it  ,Usually not  
C So    ,C and  it doesnt cost the patron anything  
 The pa   the paints  peeling off of it  ,now that were getting older  people are get  D you know  each one of us are going  our own direction 
I know my parents bought a house about ten years ago  ,C So  yeah 
 We after about a month  we  finally got to mow this weekend ,Yeah 
yeah ,My brotherinlaw works for the University F um  in Dallas 
C So  F uh    slash error , C and   C and    sometimes its a struggle 
in the last six years every year theres been at  least minimum twentyfive percent increase in health insurance costs  ,Uhhuh 
Yeah  , D well  no F uh   
yeah ,I think I started in January or February 
F Um  ,C but  they  no  no  longer laughter 
 D you know   ,C And   Im  Im  down in  the  the  central  
D Well  throatclearing I like the idea of  volunteer  voluntary  support ,Yeah 
C and   F uh  D you know   a  a   nice car  C but  not too expensive  ,C and  F uh  goodbye 
Right breathing ,D Well  Im to hear youre
Particularly if youre hungry ,F Um 
Its actually just twelve years old now ,Thanks 
but after a while I got uh found out that that wasnt all that important  ,C but  I didnt get any rehabilitation  
Yeah ,Right  
Thats great ,Ive just been called D you know  by the switchboard  
Uhhuh ,Gardening in Texas is really interesting though  
D So  ,I really dont know whats going to take place with the Cowboys this year  
I have two  ,I scratched it on  the   the  F oh   
D Now  Ive seen D you know  some different clips of it F um    ,C So  E I mean  sure  
Yeah very faint ,D Well  mine actually came from the F um  Texas Instruments Cafeteria 
Ive never visited Baltimore  ,I think   they ought to   if  if  nothing else  they ought to   spend money for a postage stamp  
C Because  they just say theres either no room in the  system D you know  in the jails for them  ,C and   when I  
E I mean  its dying now  ,Right 
they F uh  really listen to  ,When I have heard about Englands elections they are allowed to run for what a total of six or eight weeks Even for the higher offices  in the  in the  land  
Exactly ,I could sit back down and  play a few things
my brother had trouble with fire ants and that even ,C and  you already want to replace him breathing 
Where are you calling from by the way Texas ,One is the Dallas Cowboys  
Lipsmack F Uh  Jim Kelly ,I know a couple of corporations that are doing that  
laughter yeah ,it has 
C So  they have n  ,Uhhuh 
Theres  a  a  whole lot of stuff going on out there ,I dont know 
I liked that  ,C and  Im not really sure   that   that  weve gotten our moneys worth there F uh  regardless of the outcome of the Desert Storm F uh 
 I know  I know  that in my own F uh  area of people whom I knew and how they were going to vote they didnt go to vote against F uh  a politician as they did a little bit later when Nixon was running , C and  now we have four laughter  
Uhhuh ,Laughter
D Well   I  I  guess  its pretty good  ,Uhhuh 
Uhhuh ,I dont think I want to see that either  
 Right  ,Uhhuh 
F Uh  I didnt really perceive much  of a  of a  problem with the school system  ,C so   theres  
Exactly ,Yeah  
really  ,were having a terrible time with the recession 
yeah  ,F Oh  D well  thats interesting 
C but   F uh  I guess I would say its not easy to find  wha  what  most parents would want ,Laughter We dont even have any concrete 
Yeah  , I   F uh  years ago I remember when I  had a T I ninetynine
Throatclearing And to Laos  , on   the place has completely turned that much around to where theyre  not  D you know  not  what they used to be 
Jerry the topic was favorite T V shows and  what kind are you interested in  and ,C and  we figured if were going to have them we might as well have some purebreds  an    
Yeah ,Right 
Right  ,maybe its legal up to one or two additional kids 
F Um  throatclearing last summer I was  a  a  swim instructor all summer  and  and  life guard  ,I have never wanted to  
 Turbo       ,C and  D you know   people if they have to are going to learn to  think that way 
 F Huh   ,C and  thats  
 old enough to remember when inhaling the family or the church took care of all of this ,Yeah  
C because  they thought was showing   prejisim     to women and  not to men  ,Uhhuh very faint 
C and  we always D you know   ,Because about the best I can normally hope for is about fifty 
um ,C and  thats one family right  Laughter 
C and  still the people nothing ever happens to them ,C But  it seems to me that there are ways to accommodate that  F Um   
C So  that kind of covers it ,yeah 
Uhhuh ,very much so  
When you figure out how many politicians and each one getting that much its just billions of dollars  ,Its really terrible  
C and  E I mean  of course he is from the depression  ,its very difficult to get along on one income unless breathing  F uh  the male F uh  has an extraordinarily good job 
laughter,C so  
All righty ,Thats really awful  
 You kind of wonder what really happened ,C but 
Laughter,C and  perhaps its because somehow that implies to me its not fun or  something like that 
  I   Im      Im  leaning towards doing it , Yeah  
Right ,Laughter
Uhhuh ,Uhhuh 
Yes ,on the ground everythings closed up  
D you know  ,C but    theyre  theyre   its  reminds me too much of an asylum type  s  
I dont know how theyre going to do it ,Exercise 
 Laughter  ,D you know  
 F Um   ,D like  Im from Pennsylvania  
C And   F uh  ,C and  I just went because  we couldnt  we could  never get to go see it together because its so  long  
uhhuh ,Did you have F uh  one coat or two 
Yeah  ,F oh   yeah 
Its just so neat   D You know   ,exactly  
now watches seven point two hours of television a day  , the  lens to the light 
 Uhhuh   , C so  E I mean  to me it did F uh  raise my taxes 
Yeah ,I feel sorry for Donald Carter and  the members of the team and the management team and everyone else  
its funny  ,yeah  
 I went to school at  F uh  D well  I went to school at  West Virginia University ,she doesnt want to be out by herself anywhere in Dallas  
F Uh  D well  they dont always ,C and  they showed it negative 
 C and then  I  then  it will happen again because we dont pay attention to those kinds of things ,C and  when  we came up here F uh  to California F uh  were in the Monterrey area  
uhhuh ,F oh  yeah  
C and   its  they   have a really nice facility at the T I  , Uhhuh  
C and  its been hot noise  ,Uhhuh 
those three  ,C But  if you dont feel like putting it down just put N A D you know  
D You know  its like  everyones a ,Yes 
 They  they  redecorated in nineteen seventyfive D you know  ,C or  do they have a standing ball or a machine or what 
 They raise them   ,C And  what we do is well have a drug test  if an  if  a  a   break or a man F uh  has an accident  
C and   Ive  Ive   ,what they have out for D like  the next year is everything still pretty square  
 F Um   ,C And  occasionally when she cant get those people we use D you know  just F uh  E flat trumpets with valves  
I dont know  , Shrubbery that  were guaranteed  
     you get flashbacks for F uh  forever , C and   C and   in my family school was certainly valued  
no , Its kind of hard  
I put the top down everywhere I go  ,Do you know what I mean 
Yeah ,I dont have the patience to read laughter 
 Laughter ,Im have material that   I cut out  
C And  they bought their home breathing in breathing  I  I  want to say like  around nineteen seventyfive or something like that  ,Uhhuh 
Uhhuh  ,F Oh  another things thats wrong with schools  
F Uh  , I   
uhhuh ,Uhhuh 
Uhhuh ,Yeah  
Yeah ,You owe it to yourself  noise   
Durham Raleigh and Chapel Hill is the triangle ,Uhhuh 
they really did like it , E I mean  D you know  that was just  so phenomenal to see this stadium shake 
it certainly does ,Laughter
D Well  theres a lot of  s  stuff  going on in Arlington these days ,Exactly 
C And  they had a blast running around the Farmers Market looking at all  the  D you know ,F Uh  were with Wycliff Bible Translators 
Yeah  ,Yeah  
Youre not F uh  further up  ,recycle because   we   there is some bins D like  behind WalMart that take some things 
C and  I dont like that ,Yeah  
Yeah  ,Right 
 C and  ,This guy had supposedly F uh   strangled this woman and stuffed cotton toweling down her throat and up her nose laughter  
It really is fun  ,C So  thats right off that same kind of principle 
 it was just strange  ,Laughter
Laughter,that  might happen ye 
D well  rust  and the   and the  body too F huh  , C and   C but    I dont 
all that laughter were taken back in ages ,me ask you this then 
Uhhuh , yeah  
C and  C and  F uh  C so  Im about forty and whatever ,C and  
In the bot laughter   ,Uhhuh 
E I mean  Im talking about the really rich ,D You know   they  they  charge you D you know   
and you wanted to go back some  ,Uhhuh 
yeah  , C and    F uh   
 C and  Im very eager  to  to  start F uh   ,C and  when youre saying older  were talking fifty up 
Especially in some of these schools around here  I think they have about twenty percent older students ,Oh  
 only   only  it was foggy  ,C And  F uh   they have real good kiddie areas F uh  at both of the Wet and Wilds around here  
Im sure they do ,C so  its been a real interesting thing for them laughter 
E I mean  were protecting  this persons rights who has broken the law,D Well  have you had any good ideas 
Uhhuh , C and   
It was great , and then right a book about  it  
Laughter,How did it influence them 
  Theres   theres  a race in Australia with solar powered cars ,C And  F uh  the only problem was when I opened the can it just flew all over the place  
Yeah  ,they did ask that they build  up Israel and Kuwait 
Uhhuh ,It really is  
Uhhuh , Uhhuh  
Lipsmack D Well  its about eight ounces ,C because   if  if  you look at General Motors the size  
I had  a dog when I lived at home  ,C but  
and their concert band  ,C or  do you think theres too much crime now  
right ,They tell you our topic 
Yeah  ,I eat that  
F Uh  I tend  when  when  I spend enough money to go overseas laughter  ,Yeah 
Thats right ,C but  I think it was probably  a  an  individual ferret thing  because   it was f  it was a fairly  wild ferret 
C And  F uh  C so   thats  thats   what we went for first  ,You go to school  
F Um  the last movie I saw was F uh  SLEEPING WITH THE ENEMY ,I got a eightyeight Subaru G L X T  
they  would lobby that  ,my daughter went home to visit my Mom for a while and my son F uh  went to camp  
Its wonderful ,C and  he was all rung out from the day 
C and  shes very sharp  ,Yeah  
 E or  my middle son  E excuse me  fell in love  with Washington state  ,Laughter
Uhhuh , I  I  realize that this is your identification  
if you let them all walk around carrying guns  ,I am not famil  
C And  my husband was in the type of business that D you know   ,In fact  they had  people had  just seen  
no  ,Thats true 
I F uh  have been at my computer all day  , size wise   
Yeah  F uh     ,F Oh  yeah 
Is it ,we spend a lot of time F uh  F uh  carpooling  and  F uh  D you know  and   then   trying to be F uh  up as much as possible with anything  that they  that they   do 
take care ,C An  Ive never had to it since  
F Uh  C but  if thats the case if the business is responsible for policing themselves then I think some well defined mechanisms need to be in place so that F uh  the opportunity  f   to forget that you owe sales tax for something F uh  can be avoided ,Uhhuh 
 and  high heel shoes  ,I think  its   its  somewhat  a F uh  symptom of  our   me  generation  
C and  ,Yeah  
for the language D you know  is very foolish  ,Breathing  I think its  I think its  a lot of F uh  A oh how do you put it  Breathing bureaucracy  and  and  F uh  one thing and then all the corruption  
Did you get a catalog or something from these people ,Laughter  D Well  thats true laughter 
D Well  you know who Im talking about ,especially D you know  smaller areas
Really ,C and   I  I  feel like I got a good college education  
I do have some Republican leanings because,C and  sometimes wed watch the weather stations 
    Im not  Im   Im   Im just   Im north   of Addison actually , C and   C so     I  I   dont have D you know  much time  to  to   go places and play sports D you know  
I like the idea of F uh   being F uh  a mandatory thing for welfare  ,I remember mother and dad always turned on the Grand Ole Opera 
Thats true  ,My pet F uh  was hit by a car New Years Eve  
here again  its   its  casual reading  ,I like doing things like making lasagna just because I can have it ready and baking 
Yes  ,yeah  
F Oh  okay ,Sure 
C and  I dont  c    have that in my current operation  ,D Well     they  they   F uh  the   the  people that    
 just because Im not sure   if its just  if its just   me   or   or  women in general that are twentythree right now  because F um  Im really into my career  ,C And  
C and  its all confusing  ,Uhhuh 
C and   it is  I would imagine in terms  of  of  size and so forth  its   relatively typical for the area  ,Got a bunch of groves in it 
 Yeah  ,and everything  
uhhuh  ,D Well    it  it   
Laughter E I mean  the man is sixtytwo years old ,D You know  we have pretty F uh   great fans put two million people in that stadium 
C and   I ,C So  that just creates  
Which was good ,No 
F Oh  D well  ,Its all vegetarian  
C and   F uh  weve got about ,C and  he offered D you know  to take me to one of the games because apparently  hed bought  F uh  he and four other people from Honeywell had bought   a seat  E or  a row of seats  D actually   for the home games  
C And   F uh   they   they  promote service on the part of the kids  to   to  F uh  some of those people  ,Uhhuh 
Me too ,ALL MY CHILDREN  
 C And    F uh  C so    Im  Im   really  quite  quite   curious how that would work to have both E I mean  D you know   ,C and  my moms family does it once a year just like you said  
This one is on Johann Sebastian Bach  , physically developed and all that kind of stuff
F uh  lets see winter before last we would bring her in   and   F uh  when it was cold ,a lot of 
C and then  we saw  , I  dont like that at all  
  C but    F um  D you know   C and   I learned a little bit about them then  ,It was like I was sitting on the edge of my chair D you know   going F oh  no no  
C and  they have aluminum and newspaper and plastic and some other category ,  C and   that  that  makes 
Isnt it  ,Okay  
they ,F Uh   we live right    might say we live right   in   F uh  in  the middle of a residential area 
C And  that way you can watch it at your leisure ,C And   she goes  D well  she goes  he has the same thing that all my kids have  
Yeah ,Uhhuh 
Oh  ,Right  
Uhhuh ,After  
 F uh  in  ,Yes 
C and  I just  ,It F uh  D well   
Uhhuh ,Talking
Laughter,C and  D you know  we set up  
Yeah  ,C but  
Is it ,Sigh I feel sorry for her 
F Uh  communications ,How did I hear about it  
F Um  C so  D like  does insurance pay for the body damage  ,It was good talking to you  
C but  maybe part of thats the problem that here  weve  weve  let this value slip ,D So  whats the latest one youve read 
Uhhuh ,Huhuh 
 Crappy  laughter  I know  ,Yeah  
Yeah ,Laughter
Uhhuh ,D You know  how much we spent on  food how much we spent on gasoline how much we spent on everything
C and  we did it that way  , C and  its really hard to con  
C or  probably in College Station there wasnt a whole lot of choice , No  
D like  Daisy pops in once in a while  ,D Now  does the old STAR TREK guys meet the new guys 
C but  that may just be because Ive changed  , C and  thats it  
No  ,she  always worked  
thats true  ,right before I went in the hospital my girlfriend said come on  
so to speak ,I agree laughter 
C and  sounds like  shes washing dishes ,D Well  like I
 Laughter ,Right 
C and  ,C but  my dad was so precise
 Yes  ,C so  they come in  
F Uh  we have a  cycling   area set up here at our house  ,last night on the news I heard that they said  you could  you could   bid on the stadium to have it named after you  
did not  get home that often D you know   ,did you keep getting that it was down 
I dont think theres so much of a problem there  ,the nursing homes when I was working in them were very much understaffed very much F uh  in need of good personnel F Uh   
I dont even get a regular newspaper  C and  F uh  because F uh   I  I  dont drive that much  , to mow about half of it throatclearing 
Yeah  ,Theyll have to look up the number because Im never carrying a credit card 
Uhhuh ,Uhhuh 
Thats true ,Lipsmack My goodness 
Instead of getting out all that stuff D you know  ,Kimberly and Clark the makers of kleenex and such 
D like    I   wer    were  so  protected up here  ,I know 
Laughter E I mean   thats  thats  sort of my,Yeah 
Right  , we could only cover two at that 
Right ,Uhhuh 
 I would took   I took   and just mowed over them last year ,Yeah  
 C And so  I see I little bit of that  ,I dont know  
C So  D you know  changing the oil changing the spark plugs  ,for instance  she  she  would take the waxed paper out of a cereal box and use that for D you know  when she made cookies  
especially when theyre young when they bring them in  ,howd you do that  
F Oh  how beautiful  ,thats  absolutely right  
C but  F uh  I feel that  its probably pre  its pretty   good  if  if  they feel like there is a vast majority of the people at the company doing drugs ,C so   we  us kids   
C And  I have a nice size patio , nincompoop on trial  youd  youd  have to have 
 F uh  getting close to the teenage years  ,C But  the other two were just lovely 
 Are you  a movie buff ,they all go out there to play with the Barbies 
Because they F uh  look pretty  and   in my front garden F uh   ,Uhhuh  
Did you see it the other night ,C but 
yeah ,Got to see Pikes Peak 
Laughter,it costs less 
That looks good too  , C and   weve  were  going to start  taking that F uh  U S NEWS F uh  newspaper  U S A TODAY  
C but  most people that go in to being a physician here in the U S do it for financial gain ,I do cook  
I dont care how  small the ballot is E I   ,Yeah  
C and  its so much easier than taking  that lawn spreader and   walking all over  , yeah  
F Oh  gee ,    
when theyre ten they have to live in it  ,C But   theyre   the ones that complain a lot are the first 
 if youve  only got one ,C So    we  I   I  know  
I have  four  ,E I mean  to you  
C But  F um  I think they took the dental  away now  ,Havent taken it yet though  
 C And    F uh  C and   I think thats sad because that doesnt allow for any individuality ,C And  F uh  
C But  what Ive read about it they talk about that  ,C and  F uh  of course nothing ever goes down  
they dont have the ability to develop it ,the rest of the time you wonder D you know   could I use something else 
C and  I decided that was too much to tackle  ,Im still a full size person 
 but uh a little dressing a little bit above the standard I think would uh pay off  ,D So  I dont know  
because my inner room looked so dingy,fooled with that checkbook D you know  laughter 
Laughter episode  ,C So   I went to a dealership because they had D like   F uh  the same year and same model
no  ,C or  go rent it 
Uhhuh , C and  I think  that  that  he should not be allowed to live  
 point of view or from the country of origin  ,  When  when hes not   when she cant  keep control of him  
its F uh   ,Uhhuh 
I know what needs to be done  , Static laughter Right sniffing  
Yeah ,Uhhuh 
Byebye ,Yes 
Yeah ,   get   out 
I think so  ,C And then  with my kids theyre always getting into D you know   
Yeah  ,Wow  
D Well  I was going to say laughter it sounds like  you  you   picked out a lot of good things D you know  for him   to  to    F uh  to   choose in a position and  have a lot of thought put into it  ,I think something like the Peace Corps is a bit harsh 
Uhhuh ,They have  little  little  teenyweeny news
Uhhuh ,Uhhuh 
here in Plano weve got F uh  quite a few ,Im calling from Texas 
F Um  actually have been to the movies F um   ,C but  broken  
Yeah ,Uhhuh 
I think its very clever  ,Yeah  
C and  that was a no no ,Right  
I dont really like dressing up at all ,C so   we F uh    
Yeah ,D Well 
  Every  every  dollar we  every dollar we  charge is a mile for our frequent flier mileage ,Right  
D Well  D see  I started saving newspapers  ,C But  I havent really sat down and used it match yet  
I dont know  F Um  ,its coach pitch until you get nine 
Uhhuh ,Exactly 
You have got four hours of day light good skiing left ,F Oh  youre kidding laughter 
theyve got to have them there to be able to milk them  ,F Oh  absolutely 
C but  they were there close  ,Uh I had done what diagnosis I could primarily by looking at a wiring diagram that I did have of the car 
Yeah ,The guy thats doing most of  my  my  car now  F uh  goes to my church  
C So  social changes laughter  arent that much for me either ,Yeah  
F Uh  I wouldnt swear to it myself , Laughter 
Yeah ,all right I said they have the choice  
  It was  it was  a lot of fun ,Ooh   slash error
F Um  been with T I like twelve  ,C but  Im rusty now 
F Uh ,C And   y  you  want people out of prison  
Yeah ,C but  thats okay      laughter 
Its an  interesting  interesting  thing you want to do  ,Especially in the theater it was contagious D you know   
I sure dont laughter ,Yeah  
F Oh  it was terrible  ,It will 
F Um  that sounds good ,I dont know if youre familiar with that operation  
D well  you ,They dont need to be out there  and   F uh  D you know  constantly flaunting their ego to get things accomplished 
C And  I thought D well  thats good  ,All right  
 C but   ,Does that give a pretty good overview of everything  
theyre putting in fifty sixty hours a week  ,I was  over  over  four years doing language surveying which is the first step  
He fights it every single year  ,I dont know  
Uhhuh ,C but  I think its a very long day 
Um ,F Oh  really  
Yeah  ,C and    he  he   likes some of the new groups like Shenandoah 
do you  work ,Inhaling  C But  I think that one was one that 
Have you ,right now  
Whoa okay ,You have  to  to  prove that youre teaching them something  
F Um  do you go to the operas that they sing English or go to the ones that they sing other languages ,I know my brothers home has been flooded a couple of times F uh  
C and  its actually very inexpensive  ,C So  
 C But    F um   C so    you havent had a problem with that since , the  ice maker  was  F uh  had  to have a new pump  
Uhhuh  ,First at eight I think we had  
C and  I gue  , I don  I dont  know if youve ever made them maybe not since you dont have  kids yet but those JellO F uh  gelatin things you can pick  up with your fingers I cant think of what they call it 
C so  it was really easy for me to get quite a bit of exercise swimming  ,So am I 
Yeah  ,F Um  D well  I really enjoyed F um   
True  ,Uhhuh 
C and  the other half the time I just ignore it, Im  I  work for T I 
 that wants to come here  , if he  if he   thinks its going to be two hours its four if D you know  whatever  it always takes him twice as long  
C but  you take the kids out  ,F Oh  yeah 
 h  what  do the trends in  families  ,I just dont know 
Laughter,C so  I have to share it with her  
You look at consumer reports  , in the past F uh  now that it has gone off laughter 
he thought it was not  ,C but  F uh  maybe it is or isnt I suppose 
C And  Id heard it was really good too  ,C and  it has such  a different sound to it anyway  
 F uh  ,Uhhuh 
Laughter,C so    that   it     its  really neat  
C So  its F um  real easy access  from  from  south of Baltimore  like  F um  like   the airport or more importantly for the Orioles from Washington D C ,you cant let them grow up the way the way I grew up you know  
what causes the most air pollution is probably the car  ,D Well  it  
those are things you dont really have  much control over , on the  twin 
 Right  , and to the zoo and museum  
 How  to use   D you know  to make  sure the guns talking are put up  as something   as  ,although  he   D you know  the more complex your structure the F uh  less difficult it is to kind of carry some things through  
Uhhuh ,D Well  I do remember demonstrations over busing 
C so  its nice  to  to  get away  ,Right  
 no problem  ,Now thats good  
Yes laughter,its really different because  thats kind of the    D you know  thats the  chalk hills down there
Yes  ,C and  how old are you 
Absolutely ,Uhhuh  
D Well  E I mean  theres so  many places here D you know   ,Thats the one  
F Uh  I prefer OPRAH WINFREY ,Yeah 
C And  you cant do that as adults  ,C and  I anticipate the same thing with  the Honda whenever I decide to sell it  
Really  ,C but  Ive got D you know   one of   the tex  the   the  instant teller cards 
 with a bunch of red splotches all across it ,Uhhuh 
Not very often at all  ,Do you have a preference if you were going to
Yeah ,Oh  laughter 
 looking  at gray walls  D You know ,C So   its a small problem so far  
due the twentyfifth ,before I go to work I tape my soap opera 
C And  we have had just wonderful luck with ours  ,Uhhuh 
Will they make it through the summer sun ,D You know  C but  still if you  realize that F uh  one barrel has D D like  how much was it D like   F um  forty gallons 
Thanks for calling ,Oh 
I do a lot of my own patterns also ,C and  youre thinking F oh  laughter  thats nice 
 C Or  the  C or  the   jackets the team like the Raiders ,Okay   
 Uhhuh  ,C but  you have to have a need  
Thirty day notice for what ,right 
C and  F uh  ,Yeah  
D Well  we only did that once  ,C And  that scares me   the   the   thought of forcing talking somebody to do something  
D You know  E I mean  I just dont believe it  ,Thats right  
C and, C And  I  C and  I  think that I dont  
Against your will ,Laughter
Right ,I dont know  
C But  while they were there they set back laughter drank about four or five cups of coffee apiece and made snowmen on the hoods of their vehicles , yeah  
C and  F uh  lipsmack she had a baby  , Laughter 
 C and  we had a two bedroom mobile home there  ,All the more reason to F uh  have  a  a  Honda 
 its a whole hour show  ,Uhhuh  
C But  F uh  F uh  the F uh   ,C And then  ultimately they say no  
F Uh  D you know  college credit D you know   something D you know  ,What kind of lawn and garden work do you do  noise 
Really ,C but  beyond that F uh  lately Ive been reading  
C and  Ive seen so  many elderly people  ,Yeah  
D Well  all right  ,C And  we make experts by reading books 
C but  Im sure they will  ,C and  they came and questioned us 
C and  youre not even tired ,Thats right 
Byebye ,As well as hot lunch  
C But  when I went more rural  D you know   that   it  really changed ,Most people havent heard of Bruce Williams  
C But  if  they  they  have their wits about them and everything D why  its kind of hard laughter ,F Uh  
C and  we do some teaching  of sailing with the scouts  ,its D like   about maybe  
F Uh  I hope so laughter ,D Well  we dont have any children  
C So  I dont know if I  ,No income tax and no sales tax 
Now theyre starting to recycle that stuff ,Wild flowers 
C And  I just thought it was so strange  ,  its  F uh  its   F uh  its  F uh   
Its a two door  ,D So  how serious is the
F Oh  I dont know  theyre  theyre  not as nice looking ,Uhhuh D you know   
 Yeah  ,F Um  
F Uh  the college ranks  F um  I guess I really  ,F Oh  I would have liked to have  a kid with me I think preferably someone seven or eight 
I like jazz music  ,Okay 
C But   F uh  lipsmack lets see  , C And s  
F Uh   the other  the other  thing that F uh  bothers me about our system is just that F uh       in  for   for   in   in   in  Congress the amount of power  any   any  particular Congress critter has is based on their seniority  and how long theyve been there  ,Yeah 
Yeah ,Its like D you know  hey  everybody has to be free to do their own thing  
Uhhuh ,C and  Im an American  
C so   right outside the back door Ive got the two burlap bags hung up for the cans and bottles ,C and  Ive always F uh   
Yeah  ,I guess the question in my mind somewhat  
it is fun to watch some real disciplined teams play  in  in   college ,C but   F uh  
Exactly ,F um  it doesnt really have to matter  
No  ,F Oh   its a  its a  lure 
I really do  ,I really do 
properly and conform to what employers want ,I am so happy not to be part of Dallas 
I dont either ,I like that  
   By   by   by  saying D well    this   doing  th   noise this  particular crime in this particular way is a capital crime now ,C but  I figured  if the  if the  criminals had to take a hunting gun laughter out to kill somebody more than likely somebody would see it A you know  what Im saying   
Yeah laughter ,  I could see that
Youre kidding laughter , Uhhuh   
D Well  our public schools  are  are  really poor I feel ,C but  I went there recently  
 Yeah  , Thats okay   
It sure d , whatever they spent it on they have to pay tax on 
We got her from the F uh  Humane Society when she was a puppy  ,F Oh  my word 
the previews looked so good pause that I wanted to see it  ,Sniffing Right 
C and  ,D Well  D see   C and   C and   that is F uh  the sort of the thing of the nineties is 
Okay  ,She has two little boys 
