Question,Answer
"[ [ It's, + he's a design, ] + he's a engineer, ] designing stuff. /",{D like } that's a little more a casual thing.  /
"{D Well, } these are tough.  /","-- about wives that refused to go to work, and how their husbands thought they were terrible,  /"
"{C so } that, -/",{D You know } there's a lot of places in the states that we haven't even gone. /
"This is hardly, almost June. /",okay.  # /
"{D well, } in the cities, - /","# been # to a lot,  /"
I had to put that in. /,right.  /
That's very true. /,"{F uh, } [ it, + it ] really is worth while to sew. /"
which is a joke. /,"{F Oh, } yeah -- /"
"{C and } [ they just do-, + they don't ] care as much. /",-- citizen. /
{C or } I've got my P C configured to where I can use either printer.   The one that's on  the network or my own. /,-- that ] was kind of a surprise <throat_clearing> #  /
Right. /,"{C because } I used to live in, {F uh, } Massachusetts,  /"
"{C and } one of my fifth graders last year came up to me and said, <<sounds high-pitched like a child's voice>> my mom's making me get rid of the bird,  /","It's just like, -/"
A lot of times --,"the idea [ of, + of, ] {F uh, } - /"
"I do, #","{C but } it's nice, light reading <laughter>.  /"
Exactly.   /,Right. /
"I know that [ they've, + they're ]  looking at, {F uh, } {F uh, } {D you know, } {F uh, } {D you know, }  better running automobiles. /",Do you have brothers and sisters? /
"[ {C and } it, +","{D well }  [ any, + any ] advantage that they can take. /"
"{C because } I think [ they, + ] that's an area that the other nations, especially Europe, look down on us like {F oh, } we're just backward wayward children who still use this backward system, who haven't really attained it yet.  /","# {D yeah, }  with ] the savings from # that.  /"
"(( {C But } ))  it would be real difficult [ to pick + [ you, + {D you know, } ] to find ] one and --","teachers,  /"
"{C But } it's [ an, + an ] amount they're, designed to sting them a little [ for their,",That's incredible. /
"{E I mean } [ it was, + it,  ] - /","{D so } [ what was, + what was ]  the other question,  /"
that's true. /,"{C but, }  {F uh } --"
"They were the same age,  /","-- that they had built,  /"
"-- {C and } it's kind of nice [ to, + to  ] have that. /","# {F Oh, } yeah. # /"
"Wow, that's great. /",Yeah. /
"{F Oh, } yeah.  /","it's very pretty country in there I think,  /"
"{D well, } I guess that means these credit cards are closed,  /",# Right.  # /
"I think the last novel  [ I read +  I read, ] I guess, in conjunction with my wife over vacation last year.  /",I have two boys who are twenty-eight and twenty-four --
"{C But, } {F uh, } [ [ I, + I just, ] + I ] find it to be pretty offensive [ that, + that ] it's such [ a, + a ] big deal.  /",Yeah. /
"{F um, } we, - /",Right. /
-- you're exactly right. /,I'm not alarmed. /
"you do get to stop once in a while when there  is a can to rest <laughter>, /",<Laughter>.
"the pro, -/","[ Do, + [ do you, + do you ] ]  blame [ the, + the ] government in Washington for this? /"
I'm sorry <laughter>. /,{C and } their moms are crack users.  /
"I saw DANCES WITH WOLVES and, {F uh, } HOME ALONE  /","{C So } [ it was a, + it was a,  ] {D you know, } - /"
"[ {C and, } +  {F uh, } {C so } ] my dad loved fishing and camping.  /",[ I don't -- +
"{D Well, } tell you the truth, [ I'm, + I'm  ] [ not, + {F uh, } not  ] picky.  /",Yeah. /
I don't. /,"{C and, } {D you know. } -/"
"I didn't,  /",A little more take home here <sniffing>. /
"{C but } it's not, -/","they have two girls,  /"
"{C So } he ended up killing the rabbit in the end, <laughter> {F uh, }  /",now.  /
"Uh-huh,  /",Yeah. /
"{C And, }  {F uh, } he chose it  /",Right. /
-- come back  /,Uh-huh. /
"Okay, /","{D Well, } you think that takes care of the time and, -/"
I know <laughter>. /,rock and roll kind of sound. /
I'm trying to think. /,"{C Because } [ I often, + I often ] sort of wonder how, having never been to the Soviet Union, {F um, } how different the people there really are, {D you know. }  /"
Uh-huh. /,"[ {C and, } +  {D you know. }"
I couldn't hear you? /,"-- problem, {D you # know. } # /"
"-- to go ] an watch [ the, + the, ]  {F uh, } ladies <<sounds like some loss of words here>>,",Yeah. /
<Laughter>.,"{D well } [ she's, + she's ] just been doing all kinds of stuff  (( where ))  she's, {D you know }  ((   )) , -/"
"Yeah,  /","[ N-, + no, ]  /"
"{C and, }  {F uh, } it had a whole  lot of miles on it.  /",Usually not.  /
"{C So, }  # -/",{C and } it doesn't cost the patron anything.  /
"[ The pa-, +  the paints ] peeling off of it,  /","now that we're getting older, [ people are get-, + {D you know, } each one of us are going ] our own direction. /"
"I know my parents bought a house about ten years ago,  /","{C So, } yeah. /"
"[ We, after about a month, + we ] finally got to mow this weekend. /",Yeah. /
yeah. /,"My brother-in-law works for the University, {F um, } in Dallas. /"
"{C So, } {F uh. }  *[[ slash error ]]","[ {C and, } + {C and } ]  sometimes it's a struggle. /"
"in the last six years, every year there's been at  least minimum twenty-five percent increase in health insurance costs,  /",Uh-huh. /
Yeah.  /,"-- {D well, } no, {F uh, }  /"
yeah. /,I think I started in January or February. /
{F Um. } /,"{C but } they, [ no, + no ] longer <laughter>. -/"
"-- {D you know, }  /","{C And } [ I'm, + I'm ] down in [ the, + the ] central,  /"
"{D Well, } <throat_clearing> I like the idea of [ volunteer, + voluntary ] support. /",#Yeah.# /
"{C and, }  {F uh, } {D you know, } [ a, + a ]  nice car,  {C but } not too expensive, - /","{C and } {F uh, } good-bye. /"
Right <breathing>. /,"{D Well } I'm to hear you're,"
"Particularly, if you're hungry. /",{F Um. }
"It's actually just twelve years old, now. /",Thanks. /
"but after a while I got, uh, found out that that wasn't all that important.  /",{C but } I didn't get any rehabilitation -- /
Yeah. /,"Right,  /"
That's great. /,"I've just been called, {D you know, } by the switchboard,  /"
Uh-huh. /,"Gardening in Texas is really interesting, though.  /"
{D So. } -/,I really don't know what's going to take place with the Cowboys this year.  /
"I have two,  /","I scratched it on [ the, +  the ] {F oh, } - /"
"{D Now, } I've seen, {D you know, } some different clips of it, {F um,  }  /","{C So, } {E I mean } sure  /"
Yeah <<very faint>>. /,"{D Well } mine actually came from the, {F um, } Texas Instruments Cafeteria. /"
I've never visited Baltimore.  /,"I think  [ they ought to, + [ if, + if ] nothing else,  they ought to  ] spend money for a postage stamp  /"
"{C Because } they just say there's either no room in the  system, {D you know, } in the jails for them  /","{C and }  when I, - /"
"{E I mean } it's dying now,  /",Right. /
"they, {F uh, } really listen to - /","When I have heard about England's elections, they are allowed to run for what, a total of six or eight weeks. Even for the higher offices [ in the, + in the ] land.  /"
Exactly. /,"I could sit back down and  play a few things,"
"my brother had trouble with fire ants, and that even. -/",{C and } you already want to replace him <breathing>. /
"Where are you calling from by the way, Texas. /",One is the Dallas Cowboys  /
"<Lipsmack> {F Uh, } Jim Kelly. /",I know a couple of corporations that are doing that.  /
"<laughter>, yeah. /",it has. /
"{C So } they have n-, - /",Uh-huh. /
"There's [ a, + a ] whole lot of stuff going on out there. /",I don't know. /
I liked that.  /,"{C and } I'm not really sure [  that, +  that ] we've gotten our money's worth there, {F uh, } regardless of the outcome of the Desert Storm, {F uh, }"
"[ I know, + I know ] that in my own, {F uh, } area of people, whom I knew and how they were going to vote, they didn't go to vote against, {F uh, } a politician as they did a little bit later when Nixon was running. /",-- {C and } now we have four <laughter> -- /
Uh-huh. /,<Laughter>.
"{D Well } [ I, + I ] guess  it's pretty good.  /",Uh-huh. /
Uh-huh. /,I don't think I want to see that either.  /
# Right. # /,Uh-huh. /
"{F Uh, } I didn't really perceive much [ of a, + of a ] problem with the school system.  /","{C so }  there's, - /"
Exactly. /,"Yeah,  /"
"really,  /",we're having a terrible time with the recession. /
"yeah,  /","{F Oh, } {D well } that's interesting. /"
"{C but, }  {F uh, } I guess I would say it's not easy to find [ wha-, + what ] most parents would want. /",<Laughter> We don't even have any concrete --
Yeah.  /,"[ I, +  {F uh, } years ago, I remember when I ] had a T I ninety-nine."
"<Throat_clearing> And to Laos,  /","[ on + ] the, place has completely turned that much around to where they're [ not, + {D you know, } not ] what they used to be, /"
"Jerry, the topic was favorite T V shows, and  what kind are you interested in, [ and --",{C and } we figured if we're going to have them we might as well have some purebreds [ an. + ]  /
Yeah. /,Right. /
Right.  /,maybe it's legal up to one or two additional kids. /
"{F Um, } <throat_clearing> last summer I was [ a, + a ] swim instructor all summer [ and, + and ] life guard,  /","I have never wanted to,  /"
-- Turbo  ((   )) . /,"{C and } {D you know, }  people if they have to are going to learn to  think that way. /"
# {F Huh. } # /,"{C and } that's, - /"
-- old enough to remember when <inhaling> the family or the church took care of all of this. /,Yeah.  /
{C because } they thought was showing  (( prejisim ))    to women and  not to men  /,Uh-huh <<very faint>>. /
"{C and } we always, {D you know, } - /",Because about the best I can normally hope for is about fifty --
"#um,# /","{C and } that's one family, right?  <Laughter>. /"
"{C and } still the people, nothing ever happens to them. /","{C But } it seems to me that there are ways to accommodate that.  {F Um, }  /"
"{C So, } that kind of covers it. /",yeah. /
Uh-huh. /,"very much so,  /"
"When you figure out how many politicians and each one getting that much, it's just billions of dollars  /",It's really terrible.  /
"{C and, } {E I mean, } of course, he is from the depression,  /","it's very difficult to get along on one income unless <breathing>,  {F uh, } the male, {F uh, } has an extraordinarily good job. /"
<laughter>.,{C so. } -/
All righty. /,"That's really awful,  /"
# You kind of wonder what really happened. /,{C but }
<Laughter>.,"{C and } perhaps, it's because somehow that implies to me it's not fun, or  something like that. /"
"[ [ I, +  I'm, ] +    I'm ] leaning towards doing it --",# Yeah.  /
Right. /,<Laughter>.
Uh-huh. /,Uh-huh. /
Yes. /,on the ground everything's closed up.  /
"{D you know, } /","{C but } [ [ they're, + they're, ] + it's ] reminds me too much of an asylum type [ s-, -- +"
I don't know how they're going to do it. /,Exercise. /
# <Laughter>.  #,"{D you know, } -/"
"# {F Um, } # /","{D like } I'm from Pennsylvania,  /"
"{C And, }  {F uh, } -/","{C and } I just went because [ we couldn't, + we could ] never get to go see it together because it's so  long.  /"
uh-huh. /,"Did you have, {F uh, } one coat or two? /"
"Yeah,  /","{F oh, }  yeah. /"
"It's just so neat.   {D You know, }  /",exactly.  /
"now, watches seven point two hours of television a day,  /",-- the ] lens to the light. /
# Uh-huh.  # /,"-- {C so, } {E I mean, } to me, it did, {F uh, } raise my taxes. /"
Yeah. /,I feel sorry for Donald Carter and  the members of the team and the management team and everyone else.  /
"it's funny,  /",yeah.  /
"[ I went to school at, + {F uh, } {D well } I went to school at ] West Virginia University, /",she doesn't want to be out by herself anywhere in Dallas.  /
"{F Uh, } {D well, } they don't always. /",{C and } they showed it negative. /
"[ {C and then } I, + then ] it will happen again because we don't pay attention to those kinds of things. /","{C and } when  we came up, here, {F uh, } to California, {F uh, } we're in the Monterrey area,  /"
uh-huh /,"{F oh } yeah,  /"
"{C and } [ it's, + they ]  have a really nice facility at the T I.  /",# Uh-huh. # /
"{C and } it's been hot, </noise>  /",Uh-huh. /
"those three, - /","{C But } if you don't feel like putting it down, just put N A, {D you know. } /"
"{D You know, } it's like  everyone's a, #",Yes. /
"[ They, + they ] redecorated in nineteen seventy-five, {D you know. } /","{C or } do they have a standing ball or a machine, or what? /"
# They raise them.  # /,"{C And } what we do is we'll have a drug test [ if an, + if [ a, + a ] ] break or a man, {F uh, } has an accident.  /"
"{C and } [ I've, + I've  ] --","what they have out for {D like } the next year, is everything still pretty square,  /"
"[ {F Um, } + ]","{C And } occasionally, when she can't get those people, we use {D you know, } just {F uh, } E flat trumpets, with valves  /"
"I don't know,  /","# Shrubbery, that # were guaranteed  /"
"((   ))  you get flashbacks for, {F uh, } forever. /","[ {C and, } + {C and, } ] in my family, school was certainly valued,  /"
no. /,# It's kind of hard. # /
I put the top down everywhere I go.  /,Do you know what I mean? /
Yeah. /,I don't have the patience to read <laughter>. /
# <Laughter>. #,"I'm, have material that   I cut out,  /"
"{C And } they bought their home <breathing> in <breathing> [ I, + I ] want to say like  around nineteen seventy-five or something like that,  /",Uh-huh. /
Uh-huh.  /,"{F Oh } another things that's wrong with schools, - /"
{F Uh. } /,# I # ... -/
uh-huh. /,Uh-huh. /
Uh-huh. /,"Yeah,  /"
Yeah. /,You owe it to yourself # <noise> # -- /
"Durham, Raleigh, and Chapel Hill is the triangle. /",Uh-huh. /
they really did like it. /,"-- {E I mean, } {D you know, } that was just  so phenomenal to see this stadium shake --"
it certainly does. /,<Laughter>.
"{D Well, } there's a lot of [ s-, + stuff ] going on in Arlington these days. /",Exactly. /
"{C And } they had a blast running around the Farmers Market looking at all [ the, + {D you know, }","{F Uh, } we're with Wycliff Bible Translators. /"
"Yeah,  /","Yeah,  /"
"You're not, {F uh, } further up.  /","recycle, because  [ we, + ] there is some bins, {D like } behind Wal-Mart, that take some things. /"
{C and } I don't like that. /,"Yeah,  /"
Yeah.  /,Right. /
"-- {C and, } -/","This guy had supposedly, {F uh, }  strangled this woman and stuffed cotton toweling down her throat and up her nose <laughter>.  /"
"It really is fun,  /",{C So } that's right off that same kind of principle. /
# it was just strange. # /,<Laughter>.
<Laughter>.,"that ] might happen ye-, -/"
"{D well, } rust [ and the, +  and the ] body too, {F huh? } -/","[ {C and, } + {C but }  ] I don't, -/"
all that <laughter> were taken back in ages. /,me ask you this then. /
Uh-huh. /,# yeah. # /
"{C and, } {C and, } {F uh, } {C so } I'm about forty and whatever, /","{C and, } -/"
"In the bot-, <laughter> (( )). -/",Uh-huh. /
"{E I mean, } I'm talking about the really rich. /","{D You know, } [ they, + they ] charge you, {D you know, }  /"
"and you wanted to go back some, - /",Uh-huh. /
yeah.  /,"[ {C and, } # + {F uh } # --"
"-- {C and } I'm very eager [ to, + to ] start, {F uh, }  /","{C and } when you're saying older,  we're talking fifty up. /"
"Especially in some of these schools around here,  I think they have about twenty percent older students. /",Oh.  /
[ only +  only ] it was foggy  /,"{C And, } {F uh, }  they have real good kiddie areas, {F uh, } at both of the Wet and Wild's around here.  /"
I'm sure they do. /,"{C so, } it's been a real interesting thing for them <laughter>. /"
"{E I mean, } we're protecting  this person's rights who has broken the law,","{D Well, } have you had any good ideas --"
Uh-huh. /,[ {C and } + --
It was great. /,-- and then right a book about # it. # /
<Laughter>.,How did it influence them? /
"[ [ There's, +  there's ] a race in Australia with solar powered cars. /","{C And, } {F uh, } the only problem was, when I opened the can, it just flew all over the place.  /"
Yeah.  /,they did ask that they build  up Israel and Kuwait. /
Uh-huh. /,It really is.  /
Uh-huh. /,# Uh-huh. # /
"<Lipsmack> {D Well, } it's about eight ounces. /","{C because } [ if, + if ] you look at General Motors, the size - /"
I had ] a dog when I lived at home  /,{C but. } -/
"and their concert band, - /",{C or } do you think there's too much crime now?  /
right. /,They tell you our topic? /
Yeah -- /,"I eat that,  /"
"{F Uh, } I tend, [ when, + when ] I spend enough money to go overseas <laughter>, - /",Yeah. /
That's right. /,"{C but } I think it was probably [ a, + an ] individual ferret thing,  because  [ it was f-, + it was a fairly ] wild ferret. /"
"{C And, } {F uh, } {C so } [ that's, + that's ]  what we went for first  /",You go to school  /
"{F Um, } the last movie I saw was, {F uh, } SLEEPING WITH THE ENEMY. /","I got a eighty-eight Subaru, G L X T  /"
they  would lobby that  /,"my daughter went home to visit my Mom for a while and my son, {F uh, } went to camp  /"
It's wonderful. /,"{C and } he was all rung out from the day, /"
{C and } she's very sharp.  /,Yeah  /
"-- {E or } my middle son, ] {E excuse me, } fell in love  with Washington state -- /",<Laughter>.
Uh-huh. /,"[ I, + I ] realize that this is your identification  /"
if you let them all walk around carrying guns - /,"I am not famil-, - /"
"{C And } my husband was in the type of business that, {D you know, } - /","In fact, [ they had, + people had ] just seen, - /"
"no,  /",That's true. /
"I, {F uh, } have been at my computer all day  /",(( size wise )) - /
"Yeah, (( {F uh } )) ,  /","{F Oh, } yeah. /"
Is it. /,"we spend a lot of time, {F uh, } {F uh, } carpooling [ and, + {F uh, } {D you know, } and   then ]  trying to be, {F uh, } up as much as possible with anything [ that they, + that they  ] do. /"
take care. /,"{C An-, } I've never had to it since  /"
"{F Uh, } {C but, } if that's the case, if the business is responsible for policing themselves, then I think some well defined mechanisms need to be in place so that, {F uh, } the opportunity [ f-, + ] to forget that you owe sales tax for something, {F uh, } can be avoided. /",Uh-huh. /
# and # high heel shoes  /,"I think [ it's, +  it's ] somewhat  a, {F uh, } symptom of [ our, +  me ] generation  /"
"{C and, } -/","Yeah,  /"
"for the language, {D you know, } is very foolish. - /","<Breathing> [ I think it's, + I think it's ] a lot of, {F uh, } {A oh, how do you put it? } <Breathing>, bureaucracy [ and, + and, ] {F uh, } one thing, and then all the corruption.  /"
Did you get a catalog or something from these people? /,"<Laughter>  {D Well, } that's true <laughter>. /"
"{D Well, } you know who I'm talking about. /","especially, {D you know, } smaller areas,"
#Really.# /,"{C and } [ I, + I ] feel like I got a good college education  /"
"I do have some Republican leanings, because,",{C and } sometimes we'd watch the weather stations. /
"[ [ [ [ I'm not, + I'm, ] + I'm, ] + I'm just, ] + I'm north ]  of Addison actually. /","[ {C and } + {C so, }  ] [ I, + I  ] don't have, {D you know, } much time [ to, + to  ] go places and play sports, {D you know, } /"
"I like the idea of, {F uh, }  being, {F uh, } a mandatory thing for welfare.  /",I remember mother and dad always turned on the Grand Ole Opera. /
"That's true,  /","My pet, {F uh, } was hit by a car New Year's Eve,  /"
"here again [ it's, +  it's ] casual reading  /",I like doing things like making lasagna just because I can have it ready and baking --
"Yes,  /",yeah. # /
"{F Oh, } okay. /",Sure. /
"{C and } I don't [ c-, + ]  have that in my current operation,  /","{D Well, } [ [ [ they, + they, ] + {F uh, } the, ] + the ] people that (( )) - /"
"# just because, I'm not sure # [ if it's just, + if it's just ]  me,  [ or, +  or ] women in general that are twenty-three right now,  because, {F um, } I'm really into my career.  /",{C And. } -/
{C and } it's all confusing  /,Uh-huh. /
"{C and } [ it is, + I would imagine in terms [ of, + of ] size and so forth,  it's  ] relatively typical for the area.  /",Got a bunch of groves in it. /
# Yeah. # /,and everything  /
uh-huh.  /,"{D Well, } # [ it, + it, ] # -/"
<Laughter> {E I mean } the man is sixty-two years old. /,"{D You know, } we have pretty, {F uh, }  great fans, put two million people in that stadium. /"
"{C and } [ I, +","{C So, } that just creates, - /"
Which was good. /,No. /
"{F Oh, } {D well. } -/","It's all vegetarian,  /"
"{C and, }  {F uh, } we've got about, -/","{C and } he offered, {D you know, } to take me to one of the games because, apparently, [ he'd bought, + {F uh, } he and four other people from Honeywell had bought ] [ a seat, + {E or } a row of seats ] {D actually, } # for the home games. # /"
"{C And, }  {F uh, } [ they, +  they ] promote service on the part of the kids [ to, +  to, ] {F uh, } some of those people.  /",Uh-huh. /
"Me, too. /","ALL MY CHILDREN,  /"
"[ {C And, } +  {F uh, } {C so } ] [ I'm, + I'm  ] really [ quite, + quite  ] curious, how that would work, to have both, {E I mean, } {D you know, }  /","{C and } my mom's family does it once a year, just like you said -- /"
"This one is on Johann Sebastian Bach,  /",-- physically developed and all that kind of stuff/
"{F uh, } let's see, winter before last we would bring her in,  [ and, + ] {F uh, } when it was cold. /","a lot of, -/"
"{C and then } we saw, - /",# I # don't like that at all.  /
"-- [ {C but, } +  {F um, } {D you know, }  {C and } ] I learned a little bit about them then,  /","It was like I was sitting on the edge of my chair, {D you know, }  going {F oh, } no, no.  /"
"{C and } they have aluminum and newspaper and plastic and some other category, /","(( )) {C and } [ that, + that ] makes, -/"
"Isn't it, - /","Okay,  /"
they --,"{F Uh, } [ we live right, +   might say we live right ] [ in, +  {F uh, } in ] the middle of a residential area. /"
{C And } that way you can watch it at your leisure. /,"{C And } [ she goes + {D well, } she goes, ] he has the same thing that all my kids have.  /"
Yeah. /,Uh-huh. /
Oh.  /,Right.  /
Uh-huh. /,"After, ] -/"
"-- {F uh, } in, - /",Yes. /
"{C and } I just, - /","It, {F uh, } {D well, } - /"
Uh-huh. /,<Talking>.
<Laughter>.,"{C and, } {D you know } we set up ... -/"
"Yeah,  /","{C but, } -/"
Is it? /,<Sigh> I feel sorry for her. /
"{F Uh, } communications. /",How did I hear about it?  /
"{F Um, } {C so } {D like } does insurance pay for the body damage,  /","It was good talking to you,  /"
"{C but } maybe part of that's the problem that here [ we've, + we've ] let this value slip. /","{D So, } what's the latest one you've read? /"
Uh-huh. /,Huh-uh. /
"# Crappy # <laughter> # I know,  /","Yeah,  /"
Yeah. /,<Laughter>.
Uh-huh. /,"{D You know, } how much we spent on  food, how much we spent on gasoline, how much we spent on everything,"
{C and } we did it that way.  /,"-- {C and } it's really hard to con-, - /"
{C or } probably in College Station there wasn't a whole lot of choice. /,"# No,  /"
"{D like } Daisy, pops in once in a while,  /","{D Now, } does the old STAR TREK guys meet the new guys? /"
{C but } that may just be because I've changed.  /,-- {C and } that's it.  /
"No,  /","she  always worked,  /"
that's true.  /,"right before I went in the hospital my girlfriend said come on,  /"
"so to speak, /",I agree <laughter>. /
"{C and } <<sounds like  she's washing dishes>>, -/","{D Well, } like I,"
# <Laughter>. #,Right. /
"{C and, } -/","{C but } my dad was so precise,"
# Yes. # /,"{C so } they come in,  /"
"{F Uh, } we have a (( cycling ))  area set up here at our house,  /","last night on the news I heard that they said [ you could, + you could ]  bid on the stadium to have it named after you,  /"
"did not  get home that often, {D you know, }  /",did you keep getting that it was down? /
I don't think there's so much of a problem there.  /,"the nursing homes, when I was working in them, were very much understaffed, very much, {F uh, } in need of good personnel. {F Uh, }  /"
"I don't even get a regular newspaper  {C and, } {F uh, } because, {F uh, } [ I, + I ] don't drive that much,  /",-- to mow about half of it <throat_clearing>. /
Yeah  /,They'll have to look up the number because I'm never carrying a credit card. /
Uh-huh. /,Uh-huh. /
That's true. /,<Lipsmack> My goodness. /
"Instead of getting out all that stuff, {D you know. } /","Kimberly and Clark, the makers of kleenex and such --"
"{D like } [ [ I, +  wer-, ] +  we're ] so  protected up here,  /",I know. /
"<Laughter> {E I mean } [ that's, + that's ] sort of my,",Yeah. /
"Right,  /",-- we could only cover two at that. /
Right. /,Uh-huh. /
"[ I would took, +  I took ]  and just mowed over them last year. /","Yeah,  /"
# {C And so } I see I little bit of that  /,I don't know  /
"{C So, } {D you know, } changing the oil, changing the spark plugs - /","for instance, [ she, + she ] would take the waxed paper out of a cereal box and use that for, {D you know, } when she made cookies,  /"
especially when they're young when they bring them in -- -/,how'd you do that?  /
"{F Oh, } how beautiful,  /",that's # absolutely right. # /
"{C but, } {F uh, } I feel that [ it's probably pre-, + it's pretty ]  good [ if, + if ] they feel like there is a vast majority of the people at the company doing drugs. /","{C so } [ we, + us kids, ] - /"
{C And } I have a nice size patio. /,"-- nincompoop on trial, [ you'd, + you'd ] have to have --"
"-- {F uh, } getting close to the teenage years.  /",{C But } the other two were just lovely. /
# Are you # a movie buff? /,they all go out there to play with the Barbies --
"Because they, {F uh, } look pretty [ and, + ] in my front garden, {F uh, }  /",Uh-huh.  /
Did you see it the other night? /,"{C but, }"
yeah. /,Got to see Pike's Peak. /
<Laughter>.,it costs less. /
That looks good too.  /,"-- {C and } [ we've, + we're ] going to start  taking that, {F uh, } U S NEWS, {F uh, } newspaper.  U S A TODAY,  /"
{C but } most people that go in to being a physician here in the U S do it for financial gain. /,"I do cook,  /"
"I don't care how # small the ballot is, {E I  # --","Yeah,  /"
{C and } it's so much easier than taking  that lawn spreader and  # walking all over # --,"-- yeah,  /"
"{F Oh, } gee. /",((   )) .
"when they're ten, they have to live in it,  /","{C But } [ they're, + ] the ones that complain a lot are the first -/"
"# if you've # only got one, /","{C So } [ [ we, + I, ] + I ] know,  /"
I have [ four -- +,{E I mean } to you - /
"{C But, } {F um, } I think they took the dental  away now.  /","Haven't taken it yet, though.  /"
"[ {C And, } +  {F uh, } {C and } ] I think that's sad because that doesn't allow for any individuality. /","{C And, } {F uh, } -/"
"{C But } what I've read about it, they talk about that.  /","{C and, } {F uh, } of course, nothing ever goes down,  /"
they don't have the ability to develop it. /,"the rest of the time you wonder, {D you know, }  could I use something else. /"
"{C and } I decided that was too much to tackle,  /","I'm still a full size person, /"
"-- but, uh, a little dressing a little bit above the standard, I think, would, uh, pay off  /","{D So, } I don't know,  /"
"because my inner room looked so dingy,","fooled with that checkbook, {D you know } <laughter>. /"
"<Laughter> episode,  /","{C So, }  I went to a dealership because they had {D like, }  {F uh, } the same year and same model,"
no.  /,{C or } go rent it. /
Uh-huh. /,"-- {C and } I think [ that, + that ] he should not be allowed to live,  /"
"-- point of view, or from the country of origin.  /","[ [ When, + when he's not, ] + when she can't ] keep control of him  /"
"it's, {F uh, } - /",Uh-huh. /
I know what needs to be done  /,# <Static> <laughter> Right <sniffing>. # /
Yeah. /,Uh-huh. /
Bye-bye. /,Yes. /
Yeah. /,--  (( get ))  out. /
"I think so,  /","{C And then } with my kids, they're always getting into, {D you know, } - /"
"Yeah,  /","Wow,  /"
"{D Well, } I was going to say <laughter>, it sounds like [ you, + you  ] picked out a lot of good things, {D you know, } for him, [ [ to, + to,  ] + {F uh, } to  ] choose in a position and  have a lot of thought put into it.  /",I think something like the Peace Corps is a bit harsh. /
Uh-huh. /,"They have [ little, + little, ] teeny-weeny news,"
Uh-huh. /,Uh-huh. /
"here in Plano we've got, {F uh, } quite a few. /",I'm calling from Texas. /
"{F Um, } actually have been to the movies, {F um, }  /","{C but } broken, - /"
Yeah. /,Uh-huh. /
I think it's very clever.  /,"Yeah,  /"
